d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-26,22:30:00,A00A,59,21.96,,
2017-07-26,22:30:00,A00H,32,25.11,,
2017-07-26,22:30:00,A00C,77,19.54,,
2017-07-26,22:30:00,A016,5,28.93,,
2017-07-26,22:30:00,A00B,14,28.76,,
2017-07-26,23:00:00,A00E,68,20.76,,
2017-07-26,23:00:00,A00D,50,22.58,,
2017-07-26,23:00:00,A015,23,26.76,,
2017-07-26,23:00:00,A00A,59,21.73,,
2017-07-26,23:00:00,A016,5,28.93,,
2017-07-26,23:00:00,A00C,77,19.83,,
2017-07-26,23:00:00,A00H,32,25.09,,
2017-07-26,23:00:00,A00B,14,28.76,,
2017-07-26,23:30:00,A00E,68,20.67,,
2017-07-26,23:30:00,A00D,50,22.59,,
2017-07-26,23:30:00,A015,23,27.01,,
2017-07-26,23:30:00,A00A,59,21.82,,
2017-07-26,23:30:00,A00H,32,25.23,,
2017-07-26,23:30:00,A016,5,28.9,,
2017-07-26,23:30:00,A00B,14,28.73,,
2017-07-27,00:00:00,A00E,68,20.77,,
2017-07-27,00:00:00,A00D,50,22.58,,
2017-07-27,00:00:00,A015,23,27.23,,
2017-07-27,00:00:00,A00A,59,21.92,,
2017-07-27,00:00:00,A016,5,28.91,,
2017-07-27,00:00:00,A00H,32,25.2,,
2017-07-27,00:00:00,A00B,14,28.71,,
2017-07-27,00:30:00,A00E,68,20.83,,
2017-07-27,00:30:00,A00D,50,22.6,,
2017-07-27,00:30:00,A015,23,27.17,,
2017-07-27,00:30:00,A00A,59,21.91,,
2017-07-27,00:30:00,A00H,32,25.53,,
2017-07-27,00:30:00,A016,5,28.85,,
2017-07-27,00:30:00,A00B,14,28.75,,
2017-07-27,01:00:00,A00E,68,20.88,,
2017-07-27,01:00:00,A00D,50,22.83,,
2017-07-27,01:00:00,A015,23,27.3,,
2017-07-27,01:00:00,A00A,59,21.92,,
2017-07-27,01:00:00,A016,5,28.88,,
2017-07-27,01:00:00,A00C,77,19.65,,
2017-07-27,01:00:00,A00H,32,25.56,,
2017-07-27,01:00:00,A00B,14,28.7,,
2017-07-27,01:30:00,A00E,68,21.04,,
2017-07-27,01:30:00,A00D,50,22.76,,
2017-07-27,01:30:00,A015,23,27.38,,
2017-07-27,01:30:00,A00A,59,21.97,,
2017-07-27,01:30:00,A00H,32,25.5,,
2017-07-27,01:30:00,A00C,77,19.88,,
2017-07-27,01:30:00,A016,5,28.89,,
2017-07-27,01:30:00,A00B,14,28.74,,
2017-07-27,02:00:00,A00E,68,20.9,,
2017-07-27,02:00:00,A00D,50,22.75,,
2017-07-27,02:00:00,A015,23,27.33,,
2017-07-27,02:00:00,A00A,59,21.95,,
2017-07-27,02:00:00,A00H,32,25.65,,
